Location of Insuarance: 33.0728N -117.5301W

Latitudes_traveled	longitudes_traveled
33.5817	-117.8424
32.8208	-118.3659
32.6416	-117.5227
33.525	-117.3092
32.377	-117.8269
33.7869	-116.9573
33.9196	-117.3837
33.6726	-116.808
32.8978	-116.8561
32.8753	-116.8734
33.7253	-117.579
32.5608	-116.7281
33.9503	-116.734
33.9906	-117.7203
33.2931	-116.9146
33.3373	-116.8615
32.0981	-117.2524
32.2005	-118.0738
33.6922	-118.098
32.6949	-118.435
33.7605	-117.4487
33.4108	-116.8554
33.6906	-117.0831
33.4951	-117.5064
33.1247	-118.4469
32.1098	-117.2331
32.8133	-117.1119
32.1964	-117.6318
32.7938	-118.2824
32.5504	-117.8761
33.8033	-116.7369
33.8592	-116.6623
32.832	-116.6929
33.0531	-116.7316
33.8385	-117.6062
32.2141	-117.663
33.8623	-116.572
32.5923	-117.9239
32.6965	-118.4352
32.8382	-117.1677
32.1664	-118.4201
32.2893	-117.5699
33.2301	-116.6008
33.1593	-117.22
33.426	-117.7504
33.8763	-117.7998
32.7057	-116.5413
33.7064	-118.1262
32.408	-117.4672
32.8917	-117.9419
33.9125	-116.5634
33.4579	-117.5304
32.8704	-118.2495
32.7195	-117.4493
33.4825	-117.1453
32.9523	-116.7782
33.0662	-117.4321
33.1872	-118.4546
33.8191	-118.0234
32.6653	-116.5494
32.6198	-117.9528
33.5246	-117.5262
33.4384	-118.3168
33.8897	-117.594
33.5288	-118.4201
32.1977	-117.2059
33.1816	-117.8806
33.2289	-117.8116
33.5251	-117.0197
32.4559	-116.744
32.5877	-117.9423
33.8085	-117.4445
33.1887	-117.4508
32.7571	-116.7982
33.4313	-118.0809
33.7796	-116.757
32.9398	-116.944
32.9009	-117.8008
33.6892	-117.1768
33.807	-117.0318
32.903	-116.9419
32.7807	-116.7784
32.9688	-116.9007
32.9367	-116.7093
33.9061	-117.1157
32.4805	-116.664
32.397	-117.2294
33.5677	-117.5972
33.5357	-118.3833
32.214	-117.9339
32.6744	-117.4573
32.9034	-117.571
33.1547	-118.3818
33.5595	-117.694
33.0628	-117.5511
33.8863	-118.3488
32.9868	-116.6683
34.0357	-118.1088
33.5555	-116.7053
32.1128	-116.9482
33.9308	-116.5455
33.778	-116.6067
33.854	-117.0163
33.5175	-117.7254
32.3127	-117.6876
33.9379	-117.6563
33.1444	-117.7715
32.4912	-118.3353
33.5696	-116.9849
33.3804	-118.0621
33.2322	-117.0129
32.2029	-117.4874
33.3022	-117.1106
33.6643	-116.7808
32.8131	-117.8889
32.8844	-116.6212
32.4181	-116.5683
33.7203	-117.4563
32.5583	-117.4505
32.5967	-117.7129
32.3497	-116.7692
32.4289	-116.6541
32.5023	-118.476
34.0314	-117.492
32.2677	-117.3807
33.1722	-117.0703
32.9452	-116.8252
33.0099	-118.3663
33.9547	-116.9702
32.9751	-118.1346
33.3935	-116.8061
33.4526	-117.5486
33.7907	-116.6836
32.6395	-118.3892
33.2246	-116.5458
33.2264	-116.6117
34.0188	-117.9188
32.1472	-117.3595
33.3253	-117.9423
33.2301	-116.91
32.5398	-118.2056
32.6117	-117.439
32.2752	-117.3173
32.2381	-116.8876
33.9771	-116.9396
32.8553	-116.9705
33.0861	-116.6269
33.3529	-117.5098
32.1585	-117.3365
32.976	-117.5503
33.6213	-117.04
32.4201	-117.8327
32.9523	-116.96
33.0241	-116.8456
32.7397	-117.9865
32.7415	-117.3985
33.2603	-117.2781
33.1557	-117.177
33.7006	-117.2243
32.9146	-118.1564
32.2832	-117.4365
32.6402	-117.2109
32.1939	-118.461
33.0133	-116.944
33.7946	-118.1663
33.8583	-116.9651
32.2838	-118.4509
32.5789	-116.6758
33.7842	-116.7591
32.8371	-118.4886
33.4855	-116.9722
32.331	-118.0764
33.5011	-116.6956
32.1104	-118.2547
32.8729	-117.3427
33.7007	-118.1859
32.5221	-116.6528
32.4898	-117.9251
32.9468	-118.082
33.9906	-118.4905
32.3537	-116.597
32.6055	-117.184
33.7391	-118.1452
33.8393	-116.561
32.7762	-117.2743
32.8344	-118.5175
32.3245	-116.781
32.2298	-117.8264
33.1967	-117.6036
32.804	-117.5007
33.5016	-117.0756
33.4154	-117.8983
33.1724	-118.5016
33.3598	-117.6777
32.9934	-116.5581
32.8548	-118.3178
33.2252	-118.2137
33.1995	-117.7411
32.8258	-118.0711
32.1256	-117.072
33.9716	-118.3186
33.982	-117.3189
33.5035	-116.5959
33.7057	-116.8078
32.8841	-118.1433
32.6783	-116.8772
33.7967	-117.9722
32.8555	-116.7054
33.9386	-117.0099
32.6664	-116.574
32.2017	-117.5512
32.6651	-118.0187
33.516	-117.2644
32.6795	-118.0778
32.3693	-118.1856
33.1313	-117.5634
32.2305	-117.5017
32.7756	-117.3809
32.2424	-118.506
32.3237	-118.5066
33.4728	-118.4679
33.6962	-117.9227
33.9688	-117.3212
33.425	-116.7658
33.3248	-118.3602
32.974	-116.9525
33.129	-117.3001
32.601	-117.4517
33.5021	-118.3549
33.7002	-116.7617
33.5123	-116.7661
33.3958	-117.3904
33.5794	-117.5773
32.2546	-117.6731
32.2008	-117.1706
32.4087	-117.0992
33.8861	-117.6623
33.0263	-118.0448
32.3853	-117.9293
32.6557	-117.1468
33.1031	-117.5037
32.3992	-116.8947
33.1866	-117.3522
32.862	-117.4571
33.3813	-118.3583
32.5319	-118.4077
32.9806	-118.5178
32.4282	-117.0135
33.6464	-116.5511
32.6789	-117.0648
33.5964	-118.0191
32.8438	-117.7172
32.4936	-117.6312
32.4466	-116.5928
32.1802	-116.5318
33.7935	-116.9018
32.4698	-116.703
33.1474	-117.595
33.0759	-117.5928
33.6141	-116.7724
32.4417	-117.6872
33.6267	-116.9419
32.5546	-117.994
33.3899	-117.8144
32.7789	-117.0439
33.6106	-118.3922
33.1642	-116.9901
34.0662	-117.6357
32.6568	-116.8024
32.7929	-117.7492
33.5313	-116.613
32.9731	-116.7532
33.7455	-117.6628
32.4268	-118.3211
32.2438	-117.3314
32.5402	-117.7244
32.516	-117.8857
32.34	-117.6755
32.1079	-118.2923
33.8224	-117.6126
32.3915	-118.3508
32.4781	-117.1889
32.7498	-117.983
33.4919	-118.2925
32.8862	-118.4242
33.0958	-118.1883
32.6469	-117.0803
32.1611	-118.1654
33.4852	-118.4215
33.1344	-118.2322
32.3569	-118.1463
32.1593	-117.1749
33.8154	-118.2362
32.1955	-118.2114
32.1719	-116.8529
33.0486	-117.9621
33.7668	-117.5928
33.0786	-117.4808
32.6245	-117.4674
33.6578	-118.3825
33.2755	-118.4908
33.6324	-117.4809
32.2635	-117.1952
33.8135	-117.0836
33.2253	-117.9028
33.2733	-118.2558
33.189	-118.4963
32.5942	-118.1131
32.0967	-118.4211
32.3602	-118.2235
33.5021	-118.4286
32.2168	-118.4247
32.6776	-118.3085
33.605	-117.6082
32.6031	-117.2877
32.6166	-118.4737
33.2734	-118.0392
32.5288	-117.0537
33.2129	-118.2815
32.8951	-117.5706
33.6722	-117.5937
32.7943	-117.1352
32.3339	-118.007
32.182	-117.4979
33.675	-116.9117
33.2944	-116.9396
32.8139	-117.4871
32.8203	-118.1193
32.5476	-117.4187
33.9294	-118.0971
32.5585	-116.5762
33.1283	-118.0019
32.0968	-117.2158
32.8909	-116.5737
33.9607	-116.9704
33.9424	-116.995
33.8206	-118.0361
33.4909	-116.8185
32.8571	-117.323
32.1915	-117.4213
32.5481	-116.6887
32.1047	-116.6152
32.1983	-116.9891
32.265	-116.6461
32.6017	-118.1785
33.9866	-117.5713
32.9992	-117.4436
33.8712	-118.3431
33.0877	-118.3454
33.5424	-118.1353
33.3167	-116.6856
32.8112	-118.2783
32.2124	-118.0085
32.1986	-118.4768
32.3561	-118.0788
33.5512	-118.0002
32.2723	-118.0389
32.2255	-118.3013
32.7797	-116.6261
32.456	-116.6304
33.28	-118.5009
32.4472	-118.5219
33.9056	-116.7462
32.9336	-117.0958
32.1175	-118.2404
32.2045	-118.3313
33.2287	-116.625
32.6982	-116.8259
32.0998	-117.0575
33.5007	-117.189
33.9821	-117.9408
32.9559	-118.0182
32.4234	-118.378
33.4613	-117.4969
33.971	-116.6804
32.9625	-118.4782
32.8263	-117.4838
33.4542	-117.5719
32.8423	-116.7247
33.2983	-118.0718
33.2829	-117.7689
33.8048	-117.2561
32.1883	-117.9875
33.655	-116.9991
32.2216	-118.3304
32.5079	-117.0259
32.5876	-117.7098
33.7285	-118.2206
32.4069	-118.3632
32.8107	-117.1011
32.685	-117.0746
32.2642	-117.2604
33.3001	-117.5399
33.5361	-118.4839
33.3774	-118.2677
32.184	-117.6113
32.1352	-117.2724
33.4626	-117.4922
33.1197	-117.0199
32.8679	-118.3109
33.5141	-117.3743
32.5005	-117.6459
33.7388	-116.7819
32.8814	-117.3634
33.9947	-117.6743
32.98	-117.0304
32.3899	-117.9689
33.6667	-117.233
33.6669	-117.2132
32.7908	-116.8986
33.7863	-118.4233
32.1461	-118.3434
32.5026	-117.5895
33.2288	-116.7967
32.0963	-117.4477
33.3499	-117.3383
33.2318	-118.2655
33.2637	-117.2052
33.444	-118.1501
32.097	-117.2027
33.024	-117.8319
32.1538	-117.974
32.9783	-117.2128
32.4751	-117.0339
33.4256	-118.4541
33.675	-116.9754
33.5856	-117.3589
33.5851	-118.0265
33.7214	-116.8121
33.0134	-117.9055
32.5648	-117.5704
33.7771	-116.5535
32.7532	-117.7711
33.6679	-118.501
32.343	-116.747
33.2383	-117.41
32.2553	-116.8737
32.5762	-118.1172
32.1184	-117.2794
33.2932	-116.8424
33.9713	-117.5754
33.3011	-117.8988
33.3352	-117.1699
33.004	-118.3111
33.6056	-116.7017
33.1521	-116.8477
32.8511	-116.6179
33.7982	-116.8457
33.4093	-117.6688
33.1463	-116.6163
32.8167	-116.5952
32.9312	-116.6241
33.6573	-117.051
33.1234	-116.7989
32.7882	-117.4155
34.0338	-118.1499
33.6011	-118.2372
33.0235	-116.5473
32.9911	-117.2022
32.3552	-117.2278
32.3998	-117.4071
33.4337	-117.4936
33.5061	-118.2088
33.4309	-117.886
32.0934	-116.9628
33.3735	-117.6684
33.2295	-118.0828
33.7261	-117.9202
33.4481	-117.6572
33.7992	-117.818
33.8205	-117.2421
33.9694	-116.5419
33.8094	-117.6014
32.2946	-118.0286
32.844	-117.4649
33.8947	-118.0784
32.2526	-117.764
32.7732	-117.3827
32.4787	-118.3518
33.5496	-118.5126
32.3669	-118.3919
33.8115	-117.8813
32.3516	-116.9775
33.4968	-116.7899
33.6593	-117.9082
32.2683	-118.3932
32.343	-118.2473
33.6615	-116.8569
32.5908	-116.9144
33.4527	-117.2129
33.5339	-116.7041
32.2191	-116.8426
32.8178	-118.1708
33.0386	-118.0049
32.1108	-117.2143
33.6866	-116.5447
34.0383	-118.1777
33.2032	-116.659
32.1985	-117.0
33.7557	-116.724
33.1469	-118.5043
32.8114	-117.0268
33.9115	-116.9546
32.2323	-118.4617
32.1687	-116.8652
34.0225	-117.3149
33.287	-117.478
32.7391	-116.7529
34.062	-118.0712
33.0639	-118.1351
32.6327	-117.0289
32.7805	-118.3547
34.0413	-117.3062
33.7744	-118.1083
33.1041	-117.188
32.6712	-116.5954
32.9446	-116.7727
33.4565	-117.8035
32.969	-117.2693
32.2848	-117.0659
33.9322	-117.9922
32.6952	-117.4382
32.4874	-117.8612
33.8634	-117.6891
32.9942	-117.4244
33.0792	-117.5719
32.9804	-116.7962
32.0878	-118.4182
32.7013	-118.2972
33.1814	-118.0658
32.1244	-116.7374
33.58	-116.7073
32.1148	-118.0205
33.8173	-117.6393
33.6889	-118.3103
33.0204	-118.265
33.9038	-117.8621
33.2045	-116.5794
32.6918	-117.7161
33.5418	-117.4817
34.0724	-116.972
33.4947	-116.6251
34.0406	-117.7487
32.1071	-118.4149
33.5756	-117.879
32.273	-118.3208
34.0146	-118.1499
32.2371	-117.5315
33.3425	-116.8811
33.6441	-117.7063
32.4753	-117.97
33.1338	-117.5825
32.5845	-117.1046
33.3072	-117.4685
33.4527	-117.9765
32.5431	-118.392
33.954	-118.0732
32.8172	-117.1081
32.5309	-116.7378
32.5021	-117.0847
33.3963	-117.8893
33.5038	-117.613
32.519	-118.0335
33.4456	-117.8937
32.5816	-117.3807
32.1277	-117.8667
32.4496	-117.065
32.7193	-118.0554
32.2458	-116.694
32.6787	-117.059
33.2804	-117.0439
32.2223	-117.6271
32.9582	-116.9256
32.1911	-116.695
33.0187	-117.3856
33.4475	-118.0405
33.8551	-118.3795
33.2131	-118.2533
33.689	-117.6481
32.9292	-118.1955
32.9313	-117.6034
32.9325	-117.3487
33.1453	-118.3131
33.1938	-118.3313
32.6162	-118.0998
32.7817	-118.1735
33.5895	-117.9612
34.0227	-117.9027
32.5473	-117.8646
33.7113	-117.6313
32.5965	-116.6912
32.2048	-117.9393
32.5495	-117.9037
32.4576	-117.2977
32.4594	-118.2663
33.7078	-116.6516
32.7306	-118.3127
33.1236	-117.2099
33.1995	-116.7847
33.2436	-116.5735
33.1048	-117.0345
33.6884	-117.1136
32.7788	-116.8529
33.3923	-117.5854
33.3233	-117.5475
33.1583	-116.5373
32.081	-118.1834
32.5488	-116.8817
33.6181	-118.3491
32.125	-117.8483
33.9318	-117.7917
32.2013	-117.371
33.5743	-116.8301
32.7885	-116.5301
32.2603	-118.4391
33.2906	-117.3572
32.3594	-117.6325
34.0242	-117.6406
34.033	-117.5998
32.7295	-116.8635
33.0178	-117.5494
33.0401	-116.8564
33.7105	-118.4201
34.0122	-118.0201
32.1801	-118.0579
32.7077	-117.3261
33.3684	-116.5925
32.6185	-118.2555
34.05	-118.1016
32.1559	-117.8353
33.3429	-118.0839
33.3384	-117.9759
32.3045	-116.7557
32.6645	-117.4849
33.4877	-117.0977
32.2327	-117.8003
33.8656	-117.1707
32.3857	-117.0942
32.626	-118.3013
33.7409	-116.6193
33.2276	-116.8133
33.7395	-117.1166
32.5269	-118.4303
33.479	-116.9673
33.376	-118.1397
32.8342	-118.1358
33.0755	-116.8036
33.6122	-117.8816
33.7628	-117.273
33.4307	-118.4862
33.7827	-117.6055
33.9485	-116.9373
33.1194	-117.3178
32.6142	-116.715
32.7592	-118.235
33.7817	-116.8531
32.6463	-117.5496
33.3073	-117.8735
33.0241	-117.6999
33.944	-117.1752
33.9242	-118.4697
33.8266	-116.769
32.2902	-117.2618
32.4906	-117.4681
32.2382	-117.2251
33.4012	-116.8539
33.9698	-118.4074
33.7865	-118.2083
33.1318	-118.0114
33.6829	-117.925
32.0767	-118.2796
32.6365	-116.7552
33.2324	-118.2283
32.1501	-118.3117
34.0642	-117.4107
32.3865	-117.3036
33.5134	-118.152
33.1913	-117.1067
33.3031	-116.7799
33.0385	-118.4797
32.5414	-116.7313
33.2324	-117.1018
33.3191	-118.5241
32.2663	-117.1843
32.5897	-116.7116
32.3266	-117.24
32.4923	-116.8174
33.0361	-116.8079
32.6591	-117.5836
33.626	-116.9253
32.3663	-116.6074
33.0825	-117.722
32.4375	-117.965
32.3832	-118.4646
33.9362	-118.3073
32.5692	-117.1435
33.1301	-118.2974
32.485	-116.5413
33.3956	-117.9066
32.8099	-118.065
32.832	-117.6072
33.2473	-118.1854
32.4242	-117.2705
32.7168	-116.6206
33.4541	-117.4804
32.9655	-118.4593
32.8682	-118.3949
32.5299	-118.1028
32.1649	-117.4479
32.2502	-116.5939
33.583	-117.9539
33.6081	-116.8727
32.1263	-117.9316
33.9013	-117.1929
33.1979	-116.77
32.5766	-118.3651
33.0426	-117.6974
32.4253	-117.2585
32.5427	-117.6541
33.2589	-117.9387
32.8522	-118.2303
33.6776	-116.8931
32.2295	-117.9448
33.8612	-116.7048
32.8927	-118.3438
33.4963	-117.8554
32.7165	-117.8343
32.5314	-118.0089
33.4212	-117.4862
33.792	-117.0497
32.5556	-118.1909
32.2873	-117.3685
33.6903	-116.5442
33.3656	-116.8269
32.8804	-117.1695
32.6335	-117.0198
33.3166	-117.1964
32.425	-117.7091
33.4498	-116.7583
32.3106	-116.556
32.1994	-117.849
